date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2005-01-31,33.3,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2007-03-27,34.68,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2007-01-31,33.7,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2007-01-03,35.2,ppth      ,27.49,-80.34,21FLMRC-IR3660
2007-01-19,34.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2007-01-27,32.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2007-02-04,39.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2007-02-11,35.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2007-02-21,36.8,ppth,27.3499972,-80.2644444,21FLWPB_WQX-28010704
2006-07-25,35.3,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-04-27,35.3,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-01-31,35.3,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2005-04-27,30.4,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2006-01-29,37,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-02-05,33,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-02-01,32,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-03-05,35.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-16,34.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-09-22,34.4,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-10-21,36.3,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-08-06,34.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-08-13,36.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-07-13,31,ppth      ,27.49,-80.34,21FLMRC-IR3660
